ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_245	Eukaryota	Nemertea	Pilidiophora	Hubrechtidae__o	Hubrechtidae	NA	NA
ASV_2450	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Chromodorididae	Cadlina	NA
ASV_2457	Eukaryota	Mollusca	Bivalvia	Cardiida	NA	NA	NA
ASV_2459	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_246	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_2460	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Flustridae	NA	NA
ASV_247	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia tonsa
ASV_2474	Eukaryota	Cnidaria	Cubozoa	Carybdeida	NA	NA	NA
ASV_2475	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	NA	NA
ASV_2478	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Naticidae	NA	NA
ASV_248	Eukaryota	Hemichordata	Enteropneusta	Harrimaniidae__o	Harrimaniidae	NA	NA
ASV_2486	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Caprellidae	NA	NA
ASV_2487	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_2488	Eukaryota	Chordata	Ascidiacea	Aplousobranchia	Didemnidae	Didemnum	Didemnum vexillum
ASV_249	Eukaryota	Chordata	NA	NA	NA	NA	NA
ASV_2496	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	NA	NA
ASV_2497	Bacteria	Candidatus Woesebacteria	NA	NA	NA	NA	NA
ASV_2498	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Pardaliscidae	Nicippe	NA
ASV_25	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_250	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2503	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_2507	Eukaryota	Nemertea	Palaeonemertea	Carinomiformes	NA	NA	NA
