cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd050,13-Sep-20,8:36:38,8,7.302,98.773,318.459,7.1372,96.545,311.274,30.3086,30.3109,24.0116,24.0134,0.3766,4.4699,4.4701,0.1678,3.223
ctd037,10-Sep-20,23:34:26,1,5.6847,75.118,247.365,5.5753,73.672,242.604,33.0221,33.0256,26.3262,26.3289,0.9433,2.7686,2.7694,1.622,46.433
ctd037,10-Sep-20,23:34:28,2,5.6829,75.096,247.289,5.5765,73.691,242.66,33.0222,33.0257,26.3262,26.3289,0.9673,2.7697,2.77,1.5843,46.236
ctd037,10-Sep-20,23:35:29,3,5.7722,76.298,251.173,5.6528,74.721,245.98,33.0225,33.0259,26.3254,26.3281,0.6419,2.7812,2.7816,1.1794,30.264
ctd037,10-Sep-20,23:35:30,4,5.7685,76.25,251.014,5.6536,74.73,246.013,33.0225,33.0258,26.3254,26.3281,0.6623,2.7812,2.7817,1.1885,29.898
ctd037,10-Sep-20,23:36:19,5,7.4331,100.966,323.538,7.1249,96.779,310.122,32.8022,32.8049,26.0431,26.0452,11.6096,3.9491,3.95,0.9653,15.319
ctd037,10-Sep-20,23:36:20,6,7.8332,106.4,340.95,7.6744,104.243,334.04,32.8036,32.807,26.0443,26.047,11.1875,3.9486,3.9486,0.9899,15.569
ctd037,10-Sep-20,23:37:16,7,8.2672,115.774,360.081,8.1035,113.48,352.947,32.1448,32.1492,25.3674,25.371,8.0321,5.4015,5.4008,0.796,2.433
ctd037,10-Sep-20,23:37:18,8,8.2658,115.763,360.02,8.1044,113.502,352.991,32.1421,32.1389,25.3648,25.3609,7.9478,5.4055,5.417,0.7731,3.246
ctd023,8-Sep-20,13:39:15,1,7.2124,86.446,313.94,7.0123,84.047,305.228,32.3663,32.3687,26.0139,26.0157,0.2306,-0.8426,-0.842,2.2561,61.256
ctd023,8-Sep-20,13:39:16,2,7.22,86.536,314.272,6.9999,83.897,304.69,32.3663,32.3686,26.0139,26.0157,0.2205,-0.8433,-0.8425,2.4754,61.339
ctd023,8-Sep-20,13:40:21,3,7.1632,85.811,311.802,6.9944,83.789,304.456,32.3429,32.3464,25.9954,25.9982,0.2465,-0.8561,-0.8555,0.6235,45.288
ctd023,8-Sep-20,13:40:23,4,7.1645,85.826,311.859,6.9727,83.529,303.51,32.3445,32.3479,25.9967,25.9994,0.2373,-0.8566,-0.8558,0.6463,45.431
ctd023,8-Sep-20,13:41:53,5,7.5706,104.931,329.736,6.954,96.385,302.879,32.1002,32.1305,25.3789,25.1772,0.9386,4.9815,6.8622,0.2254,31.905
ctd023,8-Sep-20,13:41:54,6,6.2646,84.739,272.751,6.9612,94.162,303.08,32.4377,32.1843,25.7601,25.2895,1.0007,3.879,6.3152,0.261,32.123
ctd023,8-Sep-20,13:42:57,7,6.4641,99.654,281.72,6.3197,97.427,275.425,32.0729,32.0759,24.7276,24.7302,0.8574,9.6289,9.6273,0.226,15.2
ctd023,8-Sep-20,13:42:58,8,6.4511,99.444,281.155,6.3169,97.376,275.306,32.0729,32.0759,24.7283,24.7309,0.8635,9.6246,9.6229,0.2283,15.291
ctd023,8-Sep-20,13:44:07,9,6.4644,99.627,281.732,6.324,97.464,275.613,32.074,32.0763,24.7308,24.7326,0.8924,9.6146,9.6148,0.2243,2.78
ctd023,8-Sep-20,13:44:10,10,6.4599,99.556,281.536,6.3374,97.668,276.199,32.0739,32.0765,24.7309,24.733,0.8756,9.6135,9.6129,0.2252,2.384
ctd022,8-Sep-20,11:58:22,1,7.0588,84.343,307.25,6.8821,82.231,299.557,32.3779,32.3807,26.0272,26.0294,0.1873,-0.9617,-0.9609,2.3178,67.228
ctd022,8-Sep-20,11:58:24,2,7.0596,84.354,307.285,6.8759,82.158,299.287,32.3779,32.3804,26.0272,26.0292,0.1868,-0.9613,-0.9604,2.6004,67.603
ctd022,8-Sep-20,11:59:28,3,7.0396,84.104,306.413,6.8621,81.984,298.689,32.3739,32.3764,26.024,26.026,0.1624,-0.9647,-0.9636,1.1046,47.121
ctd022,8-Sep-20,11:59:29,4,7.0403,84.113,306.446,6.8622,81.985,298.692,32.3738,32.3763,26.0239,26.0259,0.1467,-0.9646,-0.9635,1.0898,47.339
ctd022,8-Sep-20,12:00:47,5,9.765,124.956,425.127,9.4318,120.692,410.619,32.2921,32.2983,25.8243,25.8307,1.2981,1.6903,1.67,0.2697,30.384
