
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E1073_SKQ2021_R1_trimmed.fq.gz 86.2953
MP_E1074_SKQ2021_R1_trimmed.fq.gz 92.7821
MP_E1075_SKQ2021_R1_trimmed.fq.gz 90.3545
MP_E1076_SKQ2021_R1_trimmed.fq.gz 50.9282
MP_E1077_SKQ2021_R1_trimmed.fq.gz 91.4978
MP_E1078_SKQ2021_R1_trimmed.fq.gz 88.7011
MP_E1079_SKQ2021_R1_trimmed.fq.gz 92.068
MP_E1080_SKQ2021_R1_trimmed.fq.gz 92.5334
MP_E1081_SKQ2021_R1_trimmed.fq.gz 90.8794
MP_E1082_SKQ2021_R1_trimmed.fq.gz 84.4645
MP_E1083_SKQ2021_R1_trimmed.fq.gz 83.8915
MP_E1084_SKQ2021_R1_trimmed.fq.gz 87.3587
MP_E1085_SKQ2021_R1_trimmed.fq.gz 88.5661
MP_E1086_SKQ2021_R1_trimmed.fq.gz 92.3292
MP_E1087_SKQ2021_R1_trimmed.fq.gz 90.7961
MP_E1088_SKQ2021_R1_trimmed.fq.gz 92.9456
MP_E1089_SKQ2021_R1_trimmed.fq.gz 93.3128
MP_E1090_SKQ2021_R1_trimmed.fq.gz 93.5798
MP_E1091_SKQ2021_R1_trimmed.fq.gz 87.3606
MP_E1092_SKQ2021_R1_trimmed.fq.gz 91.852
MP_E1093_SKQ2021_R1_trimmed.fq.gz 91.5013
MP_E1094_SKQ2021_R1_trimmed.fq.gz 92.637
MP_E1095_SKQ2021_R1_trimmed.fq.gz 91.1485
MP_E1096_SKQ2021_R1_trimmed.fq.gz 91.4642
MP_E1097_SKQ2021_R1_trimmed.fq.gz 90.9029
MP_E1098_SKQ2021_R1_trimmed.fq.gz 89.338
MP_E1099_SKQ2021_R1_trimmed.fq.gz 92.17
MP_E1100_SKQ2021_R1_trimmed.fq.gz 86.5867
MP_E1101_SKQ2021_R1_trimmed.fq.gz 93.4928
MP_E1102_SKQ2021_R1_trimmed.fq.gz 93.8899
MP_E1103_SKQ2021_R1_trimmed.fq.gz 93.6743
MP_E1104_SKQ2021_R1_trimmed.fq.gz 91.5244
MP_E1105_SKQ2021_R1_trimmed.fq.gz 92.1339
MP_E1106_SKQ2021_R1_trimmed.fq.gz 94.6658
MP_E1107_SKQ2021_R1_trimmed.fq.gz 92.9574
MP_E1108_SKQ2021_R1_trimmed.fq.gz 93.2551
MP_E1109_SKQ2021_R1_trimmed.fq.gz 92.1487
MP_E1110_SKQ2021_R1_trimmed.fq.gz 92.235
MP_E1111_SKQ2021_R1_trimmed.fq.gz 92.811
MP_E1112_SKQ2021_R1_trimmed.fq.gz 90.7534
MP_E1113_SKQ2021_R1_trimmed.fq.gz 92.8488
MP_E1114_SKQ2021_R1_trimmed.fq.gz 91.1785
MP_E1115_SKQ2021_R1_trimmed.fq.gz 90.5254
